Company,Valuation,DateJoined,Country,Industry,SelectedInvestors
LegalZoom,$2 ,7/31/18,USA,RegTech,"K1 Capital, Francisco Partners, Neuberger Berman"
Tempus Labs,$2 ,3/21/18,USA,Robotic Process Automation,"New Enterprise Associates, T. Rowe Associates, Lightbank"
Bird Rides,$2 ,5/29/18,USA,Travel,"Tusk Ventures, Craft Ventures, Sequoia Capital"
Lemonade,$2 ,4/11/19,USA,Fintech,"Google Ventures, Thrive Capital, SoftBank Group"
OpenDoor Labs,$3.80 ,11/30/16,USA,Real Estate,"Norwest Venture Partners, New Enterprise Associates, Khosla Ventures"
Discord,$2 ,4/20/18,USA,eSports,"Benchmark, Greylock Partners, Tencent Holdings"
Aurora,$2 ,2/7/19,USA,AutoTech,"Index Ventures, Greylock Partners, Lightspeed Venture Partners"
Eggshell Apartment,$2 ,3/1/19,China,Real Estate Tech,"JOY Capital, Gaorong Capital, Tiger Global Management"
HashiCorp,$1.90 ,11/1/18,USA,DevOps,"Redpoint Ventures, True Ventures, Mayfield Fund"
InVision,$1.90 ,12/11/18,USA,Internet Software & Services,"FirstMark Capital, Tiger Global Management, ICONIQ Capital"
Quora,$1.80 ,4/21/17,USA,Internet Software & Services,"Y Combinator, Matrix Partners, Benchmark"
Zocdoc,$1.80 ,8/20/15,USA,Healthcare,"Founders Fund, Khosla Ventures, Goldman Sachs"
Sprinklr,$1.80 ,3/31/15,USA,Internet Software & Services,"Azure Capital Partners,
	  Battery Ventures, Intel Capital"
reddit,$1.80 ,7/31/17,USA,Social,"Y Combinator, Sequoia Capital, Coatue Management"
Devoted Health,$1.80 ,10/16/18,USA,Healthcare,"Andreessen Horowitz, F-Prime Capital, Venrock"
Afiniti,$1.80 ,4/14/17,USA,Internet Software & Services,GAM Holding
L&P Cosmetic,$1.78 ,4/28/17,South Korea,Beauty & grooming,CDIB Capital
Squarespace,$1.70 ,12/14/17,USA,Internet Software & Services,"General Atlantic, Index Ventures, Accel Partners"
Buzzfeed,$1.70 ,8/18/15,USA,Media,"SV Angel, RRE Ventures, New Enterprise Associates"
Revolut,$1.70 ,4/26/18,UK,Fintech,"index Ventures, DST Global, Ribbit Capital"
Carbon3D,$1.70 ,12/20/17,USA,Hardware,"Google Ventures, Sequoia Capital, Wakefield Group"
UCommune,$3 ,1/18/17,China,Real Estate,"Ant Financial Services Group, Dahong Group, Sequoia Capital China"
Insidesales.com,$1.70 ,4/28/14,USA,Big Data,"Microsoft Ventures, US
	  Venture Partners, Kleiner Perkins Caufield & Byers"
Graphcore,$1.70 ,12/18/18,UK,Application & Data Integration Software,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners"
23andMe,$1.70 ,7/3/15,USA,Healthcare,"Google Ventures, New Enterprise Associates, MPM Capital"
Pony.ai,$1.70 ,7/11/18,USA,AutoTech,"Sequoia Capital China, IDG Capital, DCM Ventures"
Pax Labs,$1.70 ,10/22/18,USA,Consumer Electronics,"Tao Capital Partners, Global Asset Capital, Tiger Global Management"
CureVac,$1.65 ,3/5/15,Germany,Biotechnology,"dievini Hopp BioTech Holding & Co., Eli Lilly & Co., LBBW Venture Capital"
Darktrace,$1.65 ,5/15/18,UK,Cybersecurity,"KKR, Ten Eleven Ventures, Summit Partners"
Jusfoun Big Data,$1.65 ,12/19/18,China,Big Data,"Boxin Capital, DT Capital Partners, IDG Capital"
ServiceTitan,$1.65 ,11/14/18,USA,Internet Software & Services,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures"
Infinidat,$1.60 ,4/29/15,Israel,Hardware,"TPG Growth, Goldman Sachs"
BlaBlaCar,$1.60 ,9/16/15,France,On-Demand,"Accel Partners, Index Ventures, Insight Venture Partners"
CAOCAO,$1.60 ,1/17/18,China,On Demand,"People Electrical Appliance Group China, Zhongrong International Trust"
Gan & Lee Pharmaceuticals,$1.60 ,11/1/14,China,Biotechnology,"Qiming Venture Partners, Goldman Sachs, Hillhouse Capital Management"
TransferWise,$1.60 ,1/26/15,UK,Fintech,"IA Ventures, Index
	  Ventures, SV Angel"
Looker,$1.60 ,12/6/18,USA,"Business Intelligence, Analytics & Performance Mgmt","Redpoint Ventures, First Round Capital, capitalG"
Dataminr,$1.60 ,6/4/18,USA,BI & Analytics,"Venrock, Institutional Venture Partners, Goldman Sachs"
Delhivery,$1.60 ,2/27/19,India,Supply Chain & Logistics,"Times Internet, Nexus Venture Partners, SoftBank Group"
Quanergy Systems,$1.59 ,8/24/16,USA,Auto Tech,"Delphi Automotive, Samsung Ventures, Motus Ventures"
AIWAYS,$1.59 ,4/16/18,China,Auto Tech,"Jiangsu Sha Steel Group, Shanghai Puyin Industry, Funa Yuanchuang Technology"
Promasidor Holdings,$1.58 ,11/8/16,South Africa,Food and Beverage,"IFC, Ajinomoto"
Oxford Nanopore Technologies,$1.55 ,7/21/15,UK,Healthcare,"Illumina, Invesco Perpetual, IP Group"
DouyuTV,$1.51 ,11/20/17,China,Internet Software & Services,"CMB International Capital, Nanshan Capital, Tencent Holdings"
STX Entertainment,$1.50 ,8/10/16,USA,Entertainment,"Tencent, TPG Growth, Hony Capital"
GuaHao (We Doctor),$1.50 ,9/22/15,China,Healthcare,"Tencent, Morningside Group"
Tujia,$1.50 ,6/17/15,China,eCommerce/Marketplace,"GGV Capital, QiMing Venture Partnersl"
ironSource,$1.50 ,8/11/14,Israel,"Mobile Software &
	  Services","Access Industries, Clal
	  Industries and Investments"
Nextdoor,$1.50 ,3/4/15,USA,Social,"Benchmark Capital, DAG
	  Ventures, Insight Venture Partners"
Aihuishou,$1.50 ,7/12/18,China,Marketplace,"Morningside Ventures, JD.com, Tiantu Capital"
Freshworks,$1.50 ,7/31/18,USA,Internet Software & Services,"Accel, Tiger Global Management, capitalG"
Asana,$1.50 ,11/29/18,USA,Internet Software & Services,"8VC, Benchmark, Generation Investment Management"
Segment,$1.50 ,4/2/19,USA,Internet Software & Services,"Accel, Y Combinator, Thrive Capital"
Tuandaiwang,$1.46 ,5/30/17,China,Fintech,"Beihai Hongtai Investment, China Minsheng Investment, Yisheng Innovation"
Coocaa,$1.45 ,3/16/18,China,Consumer Hardware,"Baidu, Tencent Holdings"
Gett,$1.40 ,6/7/18,Israel,On-demand,"Volkswagen, Access Industries, Vostok New Ventures"
CGTZ,$1.40 ,2/21/17,China,Fintech,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund"
"Koudai
	  Gouwu",$1.40 ,10/23/14,China,eCommerce/Marketplace,"New Enterprise Associates,
	  Tiger Global management, Tencent"
AvidXchange,$1.40 ,6/8/17,USA,Fintech,"Temasek Holdings, Charlotte Angel Partners, TPG Growth"
Hike,$1.40 ,8/16/16,India,Social,"Foxconn, Tiger Global management, Tencent"
C3 IoT,$1.40 ,3/2/17,USA,IoT,"Makena Capital Management, TPG Growth, Breyer Capital"
AppLovin,$1.40 ,1/1/17,USA,Adtech,"Orient Hontai Capital, Webb Investment Network"
Allbirds,$1.40 ,10/11/18,USA,Apparel,"Lerer Hippeau Ventures, T. Rowe Price, Tiger Global Management"
Cabify,$1.40 ,1/22/18,Spain,On Demand,"Seaya Ventures, Otter Rock Capital, Rakuten"
Wemakeprice,$1.33 ,9/9/15,South Korea,eCommerce/Marketplace,"IMM Investment, NXC"
Zeta Interactive,$1.30 ,7/15/15,USA,Internet Software & Services,"GSO Capital Partners, Franklin Square"
Docker,$1.30 ,4/14/15,USA,Internet Software & Services,"Greylock Partners,
	  Lightspeed Venture Partners, Lowercase Capital"
Swiggy,$3.30 ,6/21/18,India,On-demand,"Accel India, SAIF Partners, Norwest Venture Partners"
Starry,$1.27 ,3/27/18,USA,Sales Tech,"Social Capital, Bessemer Venture Partners"
Intercom,$1.29 ,7/3/18,USA,Mobile & Telecommunications,"FirstMark Capital, Tiger Global Management"
Monzo,$1.27 ,10/31/18,UK,Fintech,"Passion Capital, Thrive Capital, Orange Digital Ventures"
Atom Bank,$1.25 ,3/7/18,UK,Fintech,"Toscafund Asset Management, Woodford Investment Management, BBVA"
Butterfly Network,$1.25 ,7/13/18,USA,Healthcare,"Bill & Melinda Gates Foundation, Aeris Capital,"
ezCater,$1.25 ,4/2/19,USA,Food & Grocery,"Insight Venture Partners, ICONIQ Capital, Launchpad Venture Group"
KeepTruckin,$1.20 ,4/23/19,USA,Supply Chain & Logistics,"Google Ventures, Index Ventures, Scale Venture Partners"
Thumbtack,$1.20 ,9/29/15,USA,eCommerce/Marketplace,"Tiger Global, Sequoia Capital, Google Capital"
Ten-X,$1.20 ,3/5/14,USA,Internet Software & Services,"Stone Point Capital, Google Capital"
Clover Health,$1.20 ,5/10/17,USA,Healthcare,"Google Ventures, Sequoia Capital, First Round Capital"
"Warby
	  Parker",$1.20 ,4/30/15,USA,eCommerce/Marketplace,"BoxGroup, Felicis Ventures,
	  First Round Capital"
Human Longevity,$1.20 ,4/5/16,USA,Healthcare,"Celgene, GE Ventures, Draper Fisher Jurvetson"
OfferUp,$1.20 ,9/8/16,USA,eCommerce/Marketplace,"Andreessen Horowitz, GGV Capital, T. Rowe Price"
Postmates,$1.85 ,9/18/18,USA,On Demand,"Founders Fund, Matrix Partners, Tiger Global Management"
Viva Republica (Toss),$1.20 ,12/10/18,South Korea,Fintech,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers"
4Paradigm,$1.20 ,12/19/18,China,Cybersecurity,"Sequoia Capital China, China Construction Bank, Bank of China"
Yiguo (易果生鲜),$1.20 ,11/9/16,China,Food & Grocery,"Alibaba Group, KKR, Goldman Sachs"
Glossier,$1.20 ,3/19/19,USA,eCommerce,"Forerunner Ventures, Institutional Venture Partners, Thrive Capital"
HeartFlow,$1.19 ,12/4/17,USA,Digital Health,"BlueCross BlueShield Venture Partners, US Venture Partners"
Logic Show (Luojisiwei),$1.17 ,7/20/17,China,Ed Tech,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings"
Automattic,$1.16 ,5/27/13,USA,Internet Software & Services,"Insight Venture Partners,
	  Lowercase Capital, Polaris Partners"
Deezer,$1.16 ,8/2/18,France,Internet Software & Services,"Orange Digital Ventures, Access Industries"
LIfeMiles,$1.15 ,7/13/15,Colombia,Business Products & Services,Advent International
Doctolib,$1.14 ,3/19/19,France,Digital Health,"BPI France, Kerala Ventures, Accel"
Global Fashion Group,$1.10 ,4/8/15,Luxembourg,eCommerce/Marketplace,"Access Industries, Rocket Internet, Tengelmann Ventures"
Shopclues,$1.10 ,1/12/16,India,eCommerce/Marketplace,"Nexus Venture Partners, GIC Special Investments, Tiger Global Management"
"Proteus
	  Digital Health",$1.10 ,6/2/14,USA,Healthcare,"Novartis,
	Essex Woodlands, The Carlyle Group"
Actifio,$1.10 ,3/24/14,USA,Big Data,"Greylock Partners, North
	  Bridge Venture Partners, Technology Crossover Ventures"
TangoMe,$1.10 ,3/20/14,USA,Social,"Draper Fisher Jurtson,
	  Qualcomm Ventures, Alibaba Group"
Tuhu,$1.16 ,9/15/18,China,Auto Tech,"Qiming Venture Partners, Yaxia Automobile, Far East Horizon"
OVH,$1.10 ,7/3/15,France,Big Data,"KKR, TowerBrook Capital Partners"
Tradeshift,$1.10 ,5/30/18,USA,Fintech / Supply Chain,"Notion Capital, Scentan Ventures, Kite Ventures"
GitLab,$1.10 ,9/19/18,USA,DevOps,"Google Ventures, ICONIQ Capital, Khosla Ventures"
Yijiupi (易久批),$1.10 ,9/20/18,China,e-commerce,"Source Code Capital, Meituan Dianping, Tencent Holdings"
Brex,$1.10 ,10/5/18,USA,Fintech,"DST Global, Ribbit Capital, Greenoaks Capital Management"
Outreach,$1.10 ,4/16/19,USA,BI & Analytics,"Mayfield Fund, M12, Trinity Ventures"
TuSimple,$1.09 ,2/13/19,USA,AutoTech,"Sina Weibo Fund, Zhiping Capital, Composite Capital Partners"
