,KS,FDR,KS rank,FDR rank,Average rank
name_lag0_count,0.10714596590709358,0.13512101689012712,171.0,176.0,173.5
ssn_lag0_count,0.10709290590090792,0.13494689186836148,170.0,175.0,172.5
ssn-firstname_lag0_count,0.10703902739533444,0.13485982935747867,169.0,174.0,171.5
name-dob_lag0_count,0.10699280673714029,0.13477276684659587,167.5,171.5,169.5
ssn-dob_lag0_count,0.10699280673714029,0.13477276684659587,167.5,171.5,169.5
ssn-name_lag0_count,0.10695324119234828,0.13477276684659587,166.0,171.5,168.75
ssn-lastname_lag0_count,0.10695196488445169,0.13477276684659587,165.0,171.5,168.25
ssn-name-dob_lag0_count,0.10690957314994698,0.13468570433571303,164.0,169.0,166.5
homephone_lag1_lag7_avg,0.10476417335863247,0.047710255963782,163.0,59.0,111.0
dob_lag0_count,0.10219646721930065,0.1249347031168379,162.0,168.0,165.0
dob_lag1_lag30_avg,0.09982823758127246,0.05606825700853212,161.0,64.0,112.5
homephone_lag1_lag3_avg,0.0968368598911705,0.05484938185617273,160.0,62.0,111.0
dob_lag1_lag3_avg,0.09211596832678944,0.05006094375761797,159.0,60.0,109.5
addr-homephone_lag1_lag3_avg,0.09140023139286596,0.12005920250740032,158.0,167.0,162.5
name-dob_lag1_lag3_avg,0.08913223003838393,0.11884032735504092,157.0,165.0,161.0
ssn_lag1_lag3_avg,0.0886785935872811,0.11849207731150967,156.0,164.0,160.0
ssn-dob_lag1_lag3_avg,0.08862006543625918,0.11831795228974404,155.0,161.0,158.0
ssn-firstname_lag1_lag3_avg,0.08861423104461592,0.11840501480062685,154.0,163.0,158.5
ssn-name_lag1_lag3_avg,0.08853482638111221,0.11831795228974404,153.0,161.0,157.0
ssn-lastname_lag1_lag3_avg,0.0885271685337331,0.11831795228974404,152.0,161.0,156.5
ssn-name-dob_lag1_lag3_avg,0.08845232195397615,0.11814382726797841,151.0,159.0,155.0
name_lag1_lag3_avg,0.08784590035802693,0.11727320215915027,150.0,158.0,154.0
homephone_lag1_lag14_avg,0.07514845379854196,0.046752568344071044,149.0,46.0,97.5
name-addr_lag30_count,0.06770172303543942,0.0847988855998607,148.0,133.0,140.5
name-dob-addr_lag30_count,0.06732767326005817,0.08723663590457949,147.0,147.5,147.25
dob-addr_lag30_count,0.06731491018109304,0.08706251088281386,146.0,146.0,146.0
name-homephone_lag30_count,0.0657978345670861,0.08558244819780603,145.0,139.0,142.0
name-addr-homephone_lag30_count,0.06563392000849266,0.0841023855127982,144.0,132.0,138.0
dob-homephone_lag30_count,0.06556089688447153,0.08932613616576703,143.0,155.0,149.0
name-dob-homephone_lag30_count,0.06549297899203643,0.08645307330663417,142.0,143.0,142.5
name-dob-addr-homephone_lag30_count,0.06532651181764992,0.08497301062162632,141.0,135.0,138.0
dob-addr-homephone_lag30_count,0.06532268289396037,0.0854953856869232,140.0,137.0,138.5
ssn-address_lag30_count,0.06526780165441015,0.08697544837193105,139.0,145.0,142.0
ssn-addr_lag30_count,0.06518329175932036,0.08488594811074351,138.0,134.0,136.0
ssn-zip5_lag30_count,0.06517818652773433,0.08375413546926694,137.0,130.5,133.75
ssn-homephone_lag30_count,0.06492338053456848,0.08802019850252481,136.0,151.0,143.5
name-addr_lag1_lag30_avg,0.06309251519023633,0.08680132335016542,135.0,144.0,139.5
name-dob-addr_lag1_lag30_avg,0.06280042269415181,0.08723663590457949,134.0,147.5,140.75
dob-addr_lag1_lag30_avg,0.06278765961518665,0.08758488594811074,133.0,149.0,141.0
name-homephone_lag1_lag30_avg,0.06127186030907635,0.08775901096987637,132.0,150.0,141.0
name-addr-homephone_lag1_lag30_avg,0.06110794575048286,0.08375413546926694,131.0,130.5,130.75
dob-homephone_lag1_lag30_avg,0.061037475242254766,0.08845551105693888,130.0,153.0,141.5
name-dob-homephone_lag1_lag30_avg,0.060965728426130156,0.0892390736548842,129.0,154.0,141.5
name-dob-addr-homephone_lag1_lag30_avg,0.060799261251743626,0.08636601079575135,128.0,142.0,135.0
dob-addr-homephone_lag1_lag30_avg,0.06079543232805407,0.08558244819780603,127.0,139.0,133.0
ssn-address_lag1_lag30_avg,0.060745656320089915,0.08558244819780603,126.0,139.0,132.5
ssn-addr_lag1_lag30_avg,0.060659870117103616,0.08575657321957166,125.0,141.0,133.0
ssn-zip5_lag1_lag30_avg,0.06065476488551755,0.08506007313250914,124.0,136.0,130.0
ssn-homephone_lag1_lag30_avg,0.06048574509533799,0.08810726101340763,123.0,152.0,137.5
homephone_lag1_lag30_avg,0.05950960357021129,0.0408323176040397,122.0,31.0,76.5
dob-homephone_#days_since,0.05854244153673667,0.08218701027337628,121.0,129.0,125.0
ssn-homephone_#days_since,0.056908675867493166,0.08114226014278252,120.0,127.0,123.5
name-dob-homephone_#days_since,0.05678605763654006,0.08044576005572,119.0,124.0,121.5
dob-addr_#days_since,0.056785146464264996,0.08061988507748563,118.0,125.5,121.75
name-dob-addr_#days_since,0.05664393187388915,0.08140344767543096,117.0,128.0,122.5
name-homephone_#days_since,0.05604342956417077,0.07992338499042312,116.0,120.0,118.0
ssn-address_#days_since,0.055951718519025126,0.0803586975448372,115.0,123.0,119.0
name-addr_#days_since,0.05559508146805757,0.08009751001218875,114.0,121.5,117.75
dob-addr-homephone_#days_since,0.05444147780826701,0.08009751001218875,113.0,121.5,117.25
name-dob-addr-homephone_#days_since,0.05437994145531454,0.07853038481629811,112.0,113.0,112.5
ssn-addr_#days_since,0.05417701072213975,0.07861744732718091,111.0,115.0,113.0
ssn-zip5_#days_since,0.054109639977544005,0.07861744732718091,110.0,115.0,112.5
name-addr-homephone_#days_since,0.05371361828281661,0.07879157234894654,109.0,118.0,113.5
dob-homephone_lag14_count,0.04882411984486257,0.07800800975100122,108.0,110.0,109.0
dob-addr_lag14_count,0.048568311117719865,0.0779209472401184,107.0,108.5,107.75
name-dob-addr_lag14_count,0.04829025800849707,0.08061988507748563,106.0,125.5,115.75
name-addr_lag14_count,0.04779650997594853,0.0778338847292356,105.0,106.5,105.75
ssn-homephone_lag14_count,0.04778155830562614,0.07713738464217308,104.0,104.0,104.0
ssn-address_lag14_count,0.04763997969081457,0.07765975970746997,103.0,105.0,104.0
name-dob-homephone_lag14_count,0.0475367796522288,0.07966219745777468,102.0,119.0,110.5
name-homephone_lag14_count,0.047291364511661826,0.07870450983806374,101.0,117.0,109.0
dob-homephone_lag1_lag14_avg,0.046600058995515725,0.07574438446804806,100.0,99.0,99.5
ssn-zip5_lag14_count,0.04644690427030507,0.07652794706599338,99.0,101.0,100.0
ssn-addr_lag14_count,0.046444078080592366,0.07644088455511057,98.0,100.0,99.0
dob-addr_lag1_lag14_avg,0.04643769431873841,0.07565732195716525,97.0,98.0,97.5
name-dob-addr_lag1_lag14_avg,0.04623776956512279,0.07861744732718091,96.0,115.0,105.5
dob-addr-homephone_lag14_count,0.04619610810186103,0.07844332230541529,95.0,112.0,103.5
name-dob-addr-homephone_lag14_count,0.04612563759363286,0.0753961344245168,94.0,97.0,95.5
name-addr-homephone_lag14_count,0.04588122518704274,0.07809507226188403,93.0,111.0,102.0
name-addr_lag1_lag14_avg,0.045719224534701154,0.07522200940275117,92.0,96.0,94.0
ssn-homephone_lag1_lag14_avg,0.04553680295601532,0.07504788438098554,91.0,95.0,93.0
ssn-address_lag1_lag14_avg,0.045465421275512154,0.0778338847292356,90.0,106.5,98.25
name-dob-homephone_lag1_lag14_avg,0.04545621243513118,0.0779209472401184,89.0,108.5,98.75
name-homephone_lag1_lag14_avg,0.04514005321241642,0.07452550931568866,88.0,94.0,91.0
ssn-addr_lag1_lag14_avg,0.04435147694458681,0.07382900922862615,87.0,93.0,90.0
dob-addr-homephone_lag1_lag14_avg,0.04428583698283942,0.07365488420686053,86.0,92.0,89.0
ssn-zip5_lag1_lag14_avg,0.04427234585500277,0.076702072087759,85.0,102.5,93.75
name-dob-addr-homephone_lag1_lag14_avg,0.044211537550921776,0.076702072087759,84.0,102.5,93.25
